"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","Zq5H8C","paris","[{""N"":""2.3497""},{""N"":""48.8567""}]","fr","6864572312.1668906081515","fr","31.187.69.144","false","app","2023-01-07T18:13:24.529Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","cFwM6Y","marseille","[{""N"":""43.297""},{""N"":""5.3811""}]","fr","2047358982.1667950602534","fr","178.249.212.31","false","web","2023-01-01T21:29:00.356Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ccjaLe","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","2047358982.1667950602534","fr","80.9.240.131","false","web","2022-12-17T15:51:17.303Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","gfSdt4","bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","6864572312.1668906081515","fr","92.184.110.247","false","app","2022-12-02T15:17:30.071Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","jv2ujh","tournefeuille","[{""N"":""43.5887""},{""N"":""1.3192""}]","fr","4465346072.1676384921184","fr","86.249.148.170","false","web","2023-02-14T23:40:28.433Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","oUKZGX","paris","[{""N"":""2.3349""},{""N"":""48.855""}]","fr","6864572312.1668906081515","fr","77.78.71.70","false","app","2023-01-10T18:43:34.612Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ol83ZW","new york city","[{""N"":""-73.9967""},{""N"":""40.7484""}]","us","6864572312.1668906081515","en","45.15.176.239","false","app","2023-01-29T00:35:31.608Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","pvB6ni","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-11-26T08:33:12.898Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","rOmJS7","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","92.184.108.176","false","","2022-11-17T01:55:22.870Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","x8Sd1X","lille","[{""N"":""3.0586""},{""N"":""50.633""}]","fr","6864572312.1668906081515","en","92.184.123.172","false","app","2023-02-11T09:20:17.063Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","ymkScO","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","2047358982.1667950602534","en","92.184.124.75","false","web","2023-01-18T22:23:58.220Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","z3Dpk1","köln","[{""N"":""50.9333""},{""N"":""6.95""}]","de","1263166334.1674113144238","en","80.187.73.208","false","web","2023-01-19T07:27:43.434Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","0fW3ZX","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","4804790216.1667788104995","fr","80.9.240.131","false","app","2022-11-09T12:39:24.733Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","181REr","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","7863962928.1668294146554","fr","92.184.104.88","false","web","2022-11-12T23:03:47.946Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","1MDK8R","paris","[{""N"":""48.8331""},{""N"":""2.3264""}]","fr","2047358982.1667950602534","fr","92.184.117.65","false","web","2022-12-28T00:20:18.987Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","1OVkQi","bordeaux","[{""N"":""44.8404""},{""N"":""-0.5805""}]","fr","UKJEA06Vl","fr","92.184.98.178","false","","2022-11-10T19:00:04.113Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","1QswA9","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","2047358982.1667950602534","fr","80.9.240.131","false","web","2022-12-23T00:35:12.543Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","1SPVUA","plaisance-du-touch","[{""N"":""43.5655""},{""N"":""1.2965""}]","fr","9587136271.1680312476871","fr","86.249.148.170","false","web","2023-04-01T01:27:58.965Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","1Yufi7","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","8292346666.1673854309506","fr","37.24.81.254","false","web","2023-01-16T08:02:19.077Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","24om5Q","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","8279874769.1675374032639","fr","37.24.81.254","false","web","2023-02-02T21:34:23.848Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","26OGE4","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","6998092906.1675343059569","fr","185.42.176.69","false","web","2023-02-02T13:04:23.671Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","2IVTl8","tournefeuille","[{""N"":""43.5887""},{""N"":""1.3192""}]","fr","4465346072.1676384921184","fr","86.249.148.170","false","web","2023-02-14T14:28:42.242Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","2nRdhx","bordeaux","[{""N"":""44.8404""},{""N"":""-0.5805""}]","fr","6864572312.1668906081515","fr","92.184.108.166","false","app","2022-12-04T10:18:26.061Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","3BzB27","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","7863962928.1668294146554","fr","92.184.104.88","false","web","2022-11-12T23:24:02.095Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","3GJhTq","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","8132117513.1668425129528","fr","80.9.240.131","false","web","2022-11-14T11:53:17.022Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","3MoCFY","bordeaux","[{""N"":""44.8404""},{""N"":""-0.5805""}]","fr","4363703869.1678793406331","fr","92.184.110.124","false","web","2023-03-14T11:30:07.581Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","4AwhQV","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-11-21T20:26:35.610Z"
